"keyword";"apply.dataset..2..sum."
"utilizo";5
"valor";4
"valores";3
"várias";6
"vários";4
"vem";4
"vencimento";5
"ver";15
"versão";10
"very";3
"vez";25
"vezes";25
"via";11
"vida";26
"visualização";4
"visualizar";4
"voltar";3
"voltou";4
"vou";8
