"";"Acquisition.Channel";"Store.Listing.Visitors";"Installers";"Installers.retained.for.1.day";"Installer-to-30.days.retention.rate";"pred"
"9";3;51;15;10;0,4;0,582934737205505
"18";2;105;33;21;0,576;0,753866791725159
"20";1;191;35;28;0,714;0,694525599479675
"24";2;61;12;10;0,667;0,764545381069183
"33";4;1345;340;309;0,824;0,806654095649719
"38";1;407;51;42;0,667;0,670109391212463
"51";4;1265;316;281;0,826;0,806654095649719
"52";3;51;12;11;0,833;0,768094897270203
"59";1;279;37;30;0,676;0,716063737869263
"63";1;277;28;27;0,643;0,681811034679413
"64";2;55;14;12;0,857;0,702170729637146
"75";4;1548;317;279;0,808;0,7851402759552
"76";3;412;9;6;0,222;0,586445212364197
"80";3;348;11;10;0,818;0,769201099872589
"81";1;264;38;29;0,632;0,716063737869263
"83";4;2153;336;296;0,798;0,798408210277557
"88";2;63;9;8;0,778;0,759052813053131
"89";4;1934;189;159;0,751;0,747574865818024
"106";2;107;27;21;0,741;0,753866791725159
"107";4;2435;463;404;0,784;0,790198504924774
"120";1;276;33;30;0,667;0,681811034679413
"129";3;531;9;7;0,667;0,734777927398682
"130";1;357;47;37;0,532;0,628240466117859
"132";4;1591;433;387;0,822;0,805689334869385
"134";1;375;62;44;0,613;0,61683988571167
"142";1;405;46;40;0,739;0,683429718017578
"144";4;999;213;188;0,836;0,799679636955261
"153";1;405;44;36;0,614;0,683429718017578
"158";2;75;11;11;0,909;0,867471396923065
"170";2;84;12;11;0,833;0,875076174736023
"171";4;1068;209;178;0,751;0,792531967163086
"173";1;224;27;25;0,815;0,694525599479675
"179";3;423;11;9;0,636;0,787660002708435
"183";3;696;9;8;0,889;0,840177774429321
"184";1;2415;199;142;0,462;0,473317831754684
"185";2;57;4;4;0,5;0,760222792625427
"186";4;5290;709;641;0,846;0,826138734817505
"187";3;597;7;3;0,286;0,651668071746826
"193";4;3950;590;529;0,841;0,826138734817505
"194";3;865;10;10;0,8;0,722022473812103
"204";2;144;22;20;0,818;0,700870752334595
"207";1;3866;316;212;0,421;0,427946448326111
"208";2;122;17;16;0,941;0,707184970378876
"233";4;1973;441;391;0,81;0,805689334869385
"234";3;399;7;5;0,714;0,482005447149277
"241";4;1547;388;345;0,791;0,796728014945984
"245";4;2628;512;464;0,805;0,79955643415451
"249";4;4152;382;340;0,793;0,787757754325867
"258";1;3663;311;204;0,437;0,427946448326111
"259";2;74;15;13;0,667;0,776749670505524
"261";3;503;7;5;0,714;0,630604445934296
"265";1;2307;182;126;0,473;0,473317831754684
"271";4;3339;474;438;0,848;0,796077370643616
"276";1;1642;161;107;0,435;0,442716628313065
"280";1;1250;122;78;0,393;0,477469325065613
"281";2;85;10;10;1;0,887533068656921
"283";3;458;12;11;0,917;0,795331716537476
"286";4;2570;474;430;0,829;0,790198504924774
"297";2;96;14;14;0,786;0,799136102199554
"298";4;2069;413;376;0,843;0,805689334869385
"303";3;314;15;10;0,4;0,605030179023743
"304";1;1590;148;108;0,48;0,442716628313065
"306";4;1326;258;207;0,678;0,784369707107544
